Symbol	Description
BPH20	British Pound (Pit) {Mar 20}
BPH21	British Pound (Pit) {Mar 21}
BPH22	British Pound (Pit) {Mar 22}
BPH23	British Pound (Pit) {Mar 23}
BPH24	British Pound (Pit) {Mar 24}
BPJ20	British Pound (Pit) {Apr 20}
BPK20	British Pound (Pit) {May 20}
BPM20	British Pound (Pit) {Jun 20}
BPM21	British Pound (Pit) {Jun 21}
BPM22	British Pound (Pit) {Jun 22}
BPM23	British Pound (Pit) {Jun 23}
BPM24	British Pound (Pit) {Jun 24}
BPU20	British Pound (Pit) {Sep 20}
BPU21	British Pound (Pit) {Sep 21}
BPU22	British Pound (Pit) {Sep 22}
BPU23	British Pound (Pit) {Sep 23}
BPU24	British Pound (Pit) {Sep 24}
BPZ20	British Pound (Pit) {Dec 20}
BPZ21	British Pound (Pit) {Dec 21}
BPZ22	British Pound (Pit) {Dec 22}
BPZ23	British Pound (Pit) {Dec 23}
BPZ24	British Pound (Pit) {Dec 24}
BR	Brazilian Real (Pit)
BR.C	Brazilian Real (Pit) Continuation
BRF20	Brazilian Real (Pit) {Jan 20}
BRF21	Brazilian Real (Pit) {Jan 21}
BRF22	Brazilian Real (Pit) {Jan 22}
BRF23	Brazilian Real (Pit) {Jan 23}
BRF24	Brazilian Real (Pit) {Jan 24}
BRF25	Brazilian Real (Pit) {Jan 25}
BRG20	Brazilian Real (Pit) {Feb 20}
BRG21	Brazilian Real (Pit) {Feb 21}
BRG22	Brazilian Real (Pit) {Feb 22}
BRG23	Brazilian Real (Pit) {Feb 23}
BRG24	Brazilian Real (Pit) {Feb 24}
BRG25	Brazilian Real (Pit) {Feb 25}
BRH20	Brazilian Real (Pit) {Mar 20}
BRH21	Brazilian Real (Pit) {Mar 21}
BRH22	Brazilian Real (Pit) {Mar 22}
BRH23	Brazilian Real (Pit) {Mar 23}
BRH24	Brazilian Real (Pit) {Mar 24}
BRJ20	Brazilian Real (Pit) {Apr 20}
BRJ21	Brazilian Real (Pit) {Apr 21}
BRJ22	Brazilian Real (Pit) {Apr 22}
BRJ23	Brazilian Real (Pit) {Apr 23}
BRJ24	Brazilian Real (Pit) {Apr 24}
BRK20	Brazilian Real (Pit) {May 20}
BRK21	Brazilian Real (Pit) {May 21}
BRK22	Brazilian Real (Pit) {May 22}
BRK23	Brazilian Real (Pit) {May 23}
BRK24	Brazilian Real (Pit) {May 24}
BRM20	Brazilian Real (Pit) {Jun 20}
BRM21	Brazilian Real (Pit) {Jun 21}
BRM22	Brazilian Real (Pit) {Jun 22}
BRM23	Brazilian Real (Pit) {Jun 23}
BRM24	Brazilian Real (Pit) {Jun 24}
BRN20	Brazilian Real (Pit) {Jul 20}
BRN21	Brazilian Real (Pit) {Jul 21}
BRN22	Brazilian Real (Pit) {Jul 22}
BRN23	Brazilian Real (Pit) {Jul 23}
BRN24	Brazilian Real (Pit) {Jul 24}
BRQ20	Brazilian Real (Pit) {Aug 20}
BRQ21	Brazilian Real (Pit) {Aug 21}
BRQ22	Brazilian Real (Pit) {Aug 22}
BRQ23	Brazilian Real (Pit) {Aug 23}
BRQ24	Brazilian Real (Pit) {Aug 24}
BRU20	Brazilian Real (Pit) {Sep 20}
BRU21	Brazilian Real (Pit) {Sep 21}
BRU22	Brazilian Real (Pit) {Sep 22}
BRU23	Brazilian Real (Pit) {Sep 23}
BRU24	Brazilian Real (Pit) {Sep 24}
BRV20	Brazilian Real (Pit) {Oct 20}
BRV21	Brazilian Real (Pit) {Oct 21}
BRV22	Brazilian Real (Pit) {Oct 22}
BRV23	Brazilian Real (Pit) {Oct 23}
BRV24	Brazilian Real (Pit) {Oct 24}
BRX20	Brazilian Real (Pit) {Nov 20}
BRX21	Brazilian Real (Pit) {Nov 21}
BRX22	Brazilian Real (Pit) {Nov 22}
BRX23	Brazilian Real (Pit) {Nov 23}
BRX24	Brazilian Real (Pit) {Nov 24}
BRZ20	Brazilian Real (Pit) {Dec 20}
BRZ21	Brazilian Real (Pit) {Dec 21}
BRZ22	Brazilian Real (Pit) {Dec 22}
BRZ23	Brazilian Real (Pit) {Dec 23}
BRZ24	Brazilian Real (Pit) {Dec 24}
BS	S&P 500 Health Care
BS.C	S&P 500 Health Care Continuation
BSH20	S&P 500 Health Care {Mar 20}
BSH21	S&P 500 Health Care {Mar 21}
BSM20	S&P 500 Health Care {Jun 20}
BSU20	S&P 500 Health Care {Sep 20}
BSZ20	S&P 500 Health Care {Dec 20}
BT	Bitcoin CME Futures
BT.C	Bitcoin CME Futures Continuation
BTF20	Bitcoin CME Futures {Jan 20}
BTG20	Bitcoin CME Futures {Feb 20}
BTH20	Bitcoin CME Futures {Mar 20}
BTJ20	Bitcoin CME Futures {Apr 20}
BTK20	Bitcoin CME Futures {May 20}
BTM20	Bitcoin CME Futures {Jun 20}
BTN20	Bitcoin CME Futures {Jul 20}
BTZ19	Bitcoin CME Futures {Dec 19}
BTZ20	Bitcoin CME Futures {Dec 20}
BTZ21	Bitcoin CME Futures {Dec 21}
C2	Milk Grade A
C3	Cheese Barrels
C4	Cheese Blocks
C5	Butter Grade AA
CD	Canadian Dollar (Pit
CD.C	Canadian Dollar (Pit Continuation
CDF20	Canadian Dollar (Pit {Jan 20}
CDG20	Canadian Dollar (Pit {Feb 20}
CDH20	Canadian Dollar (Pit {Mar 20}
CDH21	Canadian Dollar (Pit {Mar 21}
CDH22	Canadian Dollar (Pit {Mar 22}
CDH23	Canadian Dollar (Pit {Mar 23}
CDH24	Canadian Dollar (Pit {Mar 24}
CDJ20	Canadian Dollar (Pit {Apr 20}
CDK20	Canadian Dollar (Pit {May 20}
CDM20	Canadian Dollar (Pit {Jun 20}
CDM21	Canadian Dollar (Pit {Jun 21}
CDM22	Canadian Dollar (Pit {Jun 22}
CDM23	Canadian Dollar (Pit {Jun 23}
CDM24	Canadian Dollar (Pit {Jun 24}
CDU20	Canadian Dollar (Pit {Sep 20}
CDU21	Canadian Dollar (Pit {Sep 21}
CDU22	Canadian Dollar (Pit {Sep 22}
CDU23	Canadian Dollar (Pit {Sep 23}
CDU24	Canadian Dollar (Pit {Sep 24}
CDZ20	Canadian Dollar (Pit {Dec 20}
CDZ21	Canadian Dollar (Pit {Dec 21}
CDZ22	Canadian Dollar (Pit {Dec 22}
CDZ23	Canadian Dollar (Pit {Dec 23}
CDZ24	Canadian Dollar (Pit {Dec 24}
CU.C	Crude Palm Oil Continuation
CUF20	Crude Palm Oil {Jan 20}
CUF21	Crude Palm Oil {Jan 21}
CUF22	Crude Palm Oil {Jan 22}
CUF23	Crude Palm Oil {Jan 23}
CUG20	Crude Palm Oil {Feb 20}
CUG21	Crude Palm Oil {Feb 21}
CUG22	Crude Palm Oil {Feb 22}
CUG23	Crude Palm Oil {Feb 23}
CUH20	Crude Palm Oil {Mar 20}
CUH21	Crude Palm Oil {Mar 21}
CUH22	Crude Palm Oil {Mar 22}
CUH23	Crude Palm Oil {Mar 23}
CUJ20	Crude Palm Oil {Apr 20}
CUJ21	Crude Palm Oil {Apr 21}
CUJ22	Crude Palm Oil {Apr 22}
CUJ23	Crude Palm Oil {Apr 23}
CUK20	Crude Palm Oil {May 20}
CUK21	Crude Palm Oil {May 21}
CUK22	Crude Palm Oil {May 22}
CUK23	Crude Palm Oil {May 23}
CUM20	Crude Palm Oil {Jun 20}
CUM21	Crude Palm Oil {Jun 21}
CUM22	Crude Palm Oil {Jun 22}
CUM23	Crude Palm Oil {Jun 23}
CUN20	Crude Palm Oil {Jul 20}
CUN21	Crude Palm Oil {Jul 21}
CUN22	Crude Palm Oil {Jul 22}
CUN23	Crude Palm Oil {Jul 23}
CUQ20	Crude Palm Oil {Aug 20}
CUQ21	Crude Palm Oil {Aug 21}
CUQ22	Crude Palm Oil {Aug 22}
CUQ23	Crude Palm Oil {Aug 23}
CUU20	Crude Palm Oil {Sep 20}
CUU21	Crude Palm Oil {Sep 21}
CUU22	Crude Palm Oil {Sep 22}
CUV20	Crude Palm Oil {Oct 20}
CUV21	Crude Palm Oil {Oct 21}
CUV22	Crude Palm Oil {Oct 22}
CUX20	Crude Palm Oil {Nov 20}
CUX21	Crude Palm Oil {Nov 21}
CUX22	Crude Palm Oil {Nov 22}
CUZ19	Crude Palm Oil {Dec 19}
CUZ20	Crude Palm Oil {Dec 20}
CUZ21	Crude Palm Oil {Dec 21}
CUZ22	Crude Palm Oil {Dec 22}
D6	Canadian Dollar
D6.C	Canadian Dollar Continuation
D6F20	Canadian Dollar {Jan 20}
D6G20	Canadian Dollar {Feb 20}
D6H20	Canadian Dollar {Mar 20}
D6H21	Canadian Dollar {Mar 21}
D6H22	Canadian Dollar {Mar 22}
D6H23	Canadian Dollar {Mar 23}
D6H24	Canadian Dollar {Mar 24}
D6J20	Canadian Dollar {Apr 20}
D6K20	Canadian Dollar {May 20}
D6M20	Canadian Dollar {Jun 20}
D6M21	Canadian Dollar {Jun 21}
D6M22	Canadian Dollar {Jun 22}
D6M23	Canadian Dollar {Jun 23}
D6M24	Canadian Dollar {Jun 24}
D6U20	Canadian Dollar {Sep 20}
D6U21	Canadian Dollar {Sep 21}
D6U22	Canadian Dollar {Sep 22}
D6U23	Canadian Dollar {Sep 23}
D6U24	Canadian Dollar {Sep 24}
D6Z20	Canadian Dollar {Dec 20}
D6Z21	Canadian Dollar {Dec 21}
D6Z22	Canadian Dollar {Dec 22}
D6Z23	Canadian Dollar {Dec 23}
D6Z24	Canadian Dollar {Dec 24}
DA	Class III Milk (Pit)
DA.C	Class III Milk (Pit) Continuation
DAF20	Class III Milk (Pit) {Jan 20}
DAF21	Class III Milk (Pit) {Jan 21}
DAG20	Class III Milk (Pit) {Feb 20}
DAG21	Class III Milk (Pit) {Feb 21}
DAH20	Class III Milk (Pit) {Mar 20}
DAH21	Class III Milk (Pit) {Mar 21}
DAJ20	Class III Milk (Pit) {Apr 20}
DAJ21	Class III Milk (Pit) {Apr 21}
DAK20	Class III Milk (Pit) {May 20}
DAK21	Class III Milk (Pit) {May 21}
DAM20	Class III Milk (Pit) {Jun 20}
DAM21	Class III Milk (Pit) {Jun 21}
DAN20	Class III Milk (Pit) {Jul 20}
DAN21	Class III Milk (Pit) {Jul 21}
DAQ20	Class III Milk (Pit) {Aug 20}
DAQ21	Class III Milk (Pit) {Aug 21}
DAU20	Class III Milk (Pit) {Sep 20}
DAU21	Class III Milk (Pit) {Sep 21}
DAV20	Class III Milk (Pit) {Oct 20}
DAV21	Class III Milk (Pit) {Oct 21}
DAX20	Class III Milk (Pit) {Nov 20}
