Symbol	Description
BXBKOA	Brambles Limited
BXBKOB	Brambles Limited
BXBKOC	Brambles Limited
BXBKOQ	Brambles Limited
BXBKOR	Brambles Limited
BXBKOS	Brambles Limited
BXN	Bioxyne Limited
BYE	Byron Energy Limited
BYH	Bryah Resources Limited
BYHO	Bryah Resources Limited
BYI	Beyond International Ltd
C6C	Copper Mountain Mining Corporation
CA8	Coassets Limited.
CAA	Capral Aluminium Ltd
CAD	Caeneus Minerals Ltd
CADO	Caeneus Minerals Ltd
CAE	Cannindah Resources Limited
CAF	Centrepoint Alliance Ltd
CAG	Cape Range Wireless Ltd
CAI	Casinos Austria International
CAJ	Capitol Health Ltd
CAM	Clime Capital Ltd
CAMG	Clime Capital Limited
CAN	Cann Group Limited
CAP	Carpentaria Exploration Ltd
CAQ	Cell Aquaculture Ltd
CAR	Carsales.com Limited.
CARKOB	Carsales.com Limited.
CARKOD	Carsales.com Limited.
CARKOQ	Carsales.com Limited.
CARKOR	Carsales.com Limited.
CAT	Catuity Inc (USA)
CAU	CollTech Australia Ltd
CAV	Carnavale Resources Ltd
CAVOA	Carnavale Resources Limited
CAY	Canyon Resources Ltd
CAZ	Cazaly Resources Ltd
CBA	Commonwealth Bank Ltd
CBABOF	Commonwealth Bank Of Australia.
CBABOG	Commonwealth Bank Of Australia.
CBAKOA	Commonwealth Bank Of Australia.
CBAKOC	Commonwealth Bank Of Australia.
CBAKOE	Commonwealth Bank Of Australia.
CBAKOF	Commonwealth Bank Of Australia.
CBAKOG	Commonwealth Bank Of Australia.
CBAKOI	Commonwealth Bank Of Australia.
CBAKOJ	Commonwealth Bank Of Australia.
CBAKOK	Commonwealth Bank Of Australia.
CBAKOM	Commonwealth Bank Of Australia.
CBAKON	Commonwealth Bank Of Australia.
CBAKOP	Commonwealth Bank Of Australia.
CBAKOR	Commonwealth Bank Of Australia.
CBAKOS	Commonwealth Bank Of Australia.
CBAKOU	Commonwealth Bank Of Australia.
CBAKOY	Commonwealth Bank Of Australia.
CBAKOZ	Commonwealth Bank Of Australia.
CBALOL	Commonwealth Bank Of Australia.
CBALOM	Commonwealth Bank Of Australia.
CBALOP	Commonwealth Bank Of Australia.
CBALOQ	Commonwealth Bank Of Australia.
CBALOS	Commonwealth Bank Of Australia.
CBALOT	Commonwealth Bank Of Australia.
CBALOW	Commonwealth Bank Of Australia.
CBAMOP	Commonwealth Bank Of Australia.
CBAPD	Commonwealth Bank Of Australia.
CBAPE	Commonwealth Bank Of Australia.
CBAPF	Commonwealth Bank Of Australia.
CBAPG	Commonwealth Bank Of Australia.
CBAPH	Commonwealth Bank Of Australia.
CBAPI	Commonwealth Bank Of Australia.
CBR	Constellation Brands Inc (US nCHESS)
CBY	Canterbury Resources Limited
CCA	Chimpchange Limited
CCE	Clinical Cell Culture Ltd
CCG	Commschoice Group Limited
CCJ	County Coal Limited
CCL	Coca-Cola Amatil Ltd
CCLKOB	Coca-cola Amatil Limited
CCLKOC	Coca-cola Amatil Limited
CCLKOD	Coca-cola Amatil Limited
CCLKOP	Coca-cola Amatil Limited
CCLKOS	Coca-cola Amatil Limited
CCP	Credit Corp Group Ltd
CCPKOA	Credit Corp Group Limited
CCPKOC	Credit Corp Group Limited
CCPKOD	Credit Corp Group Limited
CCV	Cash Converters International Ltd
CCX	City Chic Collective Limited
CCZ	Castillo Copper Limited
CD1	Cordish Dixon Private Equity Fund I
CD2	Cordish Dixon Private Equity Fund Ii
CD3	Cordish Dixon Private Equity Fund Iii
CDA	Codan Ltd
CDD	Cardno Ltd
CDDKOQ	Cardno Limited
CDDKOR	Cardno Limited
CDH	Chongherr Investments Ltd
CDM	Cadence Capital Ltd
CDP	Carindale Property Trust
CDT	Castle Minerals Ltd
CDU	CuDeco Ltd
CDV	Cardinal Resources Limited
CDX	CDS Technologies Ltd
CDXO	Cardiex Limited
CDY	Cellmid Limited
CE1	Calima Energy Limited
CEL	CEL
CEN	Central Australian Phosphate Limited
CETF	Vaneck Vectors Chinaamc A-share?
CFE	Cape Lambert Iron Ore Ltd
CFO	Cfoam Limited
CG1	Carbonxt Group Limited
CGA	Contango Asset Management Limited
CGB	Cann Global Limited
CGC	Consolidated Gaming Corporation
CGCKOA	Costa Group Holdings Limited
CGCKOP	Costa Group Holdings Limited
CGCKOQ	Costa Group Holdings Limited
CGCKOR	Costa Group Holdings Limited
CGF	Challenger Financial Services Group
CGFBOB	Challenger Limited
CGFKOA	Challenger Limited
CGFKOC	Challenger Limited
CGFKOD	Challenger Limited
CGFKOF	Challenger Limited
CGFKOP	Challenger Limited
CGFKOR	Challenger Limited
CGFPA	Challenger Limited
CGFPB	Challenger Limited
CGL	The Citadel Group Limited
CGM	Cougar Metals NL
CGN	Crater Gold Mining Limited
CGO	CPT Global Ltd
CGR	Careers Multilist Limited
CGS	Cogstate Ltd
CHC	Charter Hall Group
CHCKOA	Charter Hall Group
