Symbol	Description
PSZ20	Pound/Krona {Dec 20}
PV	Pound/Australian
PVH20	Pound/Australian {Mar 20}
PVM20	Pound/Australian {Jun 20}
PVU20	Pound/Australian {Sep 20}
PVZ20	Pound/Australian {Dec 20}
PW	Pound/Canadian
PWH20	Pound/Canadian {Mar 20}
PWM20	Pound/Canadian {Jun 20}
PWU20	Pound/Canadian {Sep 20}
PWZ20	Pound/Canadian {Dec 20}
PX	Pound/Rand
PXH20	Pound/Rand {Mar 20}
PXM20	Pound/Rand {Jun 20}
PXU20	Pound/Rand {Sep 20}
PXZ20	Pound/Rand {Dec 20}
PY	Euro/Rand
PYH20	Euro/Rand {Mar 20}
PYM20	Euro/Rand {Jun 20}
PYU20	Euro/Rand {Sep 20}
PYZ20	Euro/Rand {Dec 20}
PZ	Swiss Franc
PZH20	Swiss Franc {Mar 20}
PZM20	Swiss Franc {Jun 20}
PZU20	Swiss Franc {Sep 20}
PZZ20	Swiss Franc {Dec 20}
R1H20	MSCI Canada Index {Mar 20}
R1H21	MSCI Canada Index {Mar 21}
R1M20	MSCI Canada Index {Jun 20}
R1U20	MSCI Canada Index {Sep 20}
R1Z20	MSCI Canada Index {Dec 20}
R2H20	MSCI World Index {Mar 20}
R2H21	MSCI World Index {Mar 21}
R2M20	MSCI World Index {Jun 20}
R2U20	MSCI World Index {Sep 20}
R2Z20	MSCI World Index {Dec 20}
RK	Euro/Krona
RKH20	Euro/Krona {Mar 20}
RKM20	Euro/Krona {Jun 20}
RKU20	Euro/Krona {Sep 20}
RKZ20	Euro/Krona {Dec 20}
RZ	Euro/Swiss
RZH20	Euro/Swiss {Mar 20}
RZM20	Euro/Swiss {Jun 20}
RZU20	Euro/Swiss {Sep 20}
RZZ20	Euro/Swiss {Dec 20}
S2H20	MSCI EMLA Index {Mar 20}
S2H21	MSCI EMLA Index {Mar 21}
S2M20	MSCI EMLA Index {Jun 20}
S2U20	MSCI EMLA Index {Sep 20}
S2Z20	MSCI EMLA Index {Dec 20}
SB	Sugar #11
SBH20	Sugar #11 {Mar 20}
SBH21	Sugar #11 {Mar 21}
SBH22	Sugar #11 {Mar 22}
SBK20	Sugar #11 {May 20}
SBK21	Sugar #11 {May 21}
SBK22	Sugar #11 {May 22}
SBN20	Sugar #11 {Jul 20}
SBN21	Sugar #11 {Jul 21}
SBN22	Sugar #11 {Jul 22}
SBV20	Sugar #11 {Oct 20}
SBV21	Sugar #11 {Oct 21}
SBV22	Sugar #11 {Oct 22}
SDF21	Sugar #16 {Jan 21}
SDH20	Sugar #16 {Mar 20}
SDH21	Sugar #16 {Mar 21}
