Symbol	Description
RMK21	Robusta Coffee 10-T {May 21}
RMN20	Robusta Coffee 10-T {Jul 20}
RMN21	Robusta Coffee 10-T {Jul 21}
RMU20	Robusta Coffee 10-T {Sep 20}
RMX20	Robusta Coffee 10-T {Nov 20}
SW.C	No. 5 White Sugar Continuation
SWH20	No. 5 White Sugar {Mar 20}
SWH21	No. 5 White Sugar {Mar 21}
SWK20	No. 5 White Sugar {May 20}
SWK21	No. 5 White Sugar {May 21}
SWQ20	No. 5 White Sugar {Aug 20}
SWQ21	No. 5 White Sugar {Aug 21}
SWV20	No. 5 White Sugar {Oct 20}
SWZ20	No. 5 White Sugar {Dec 20}
VF.C	5-Yr Euro Swapnote Continuation
VFH20	5-Yr Euro Swapnote {Mar 20}
VFM20	5-Yr Euro Swapnote {Jun 20}
VT.C	10-Yr Euro Swapnote Continuation
VTH20	10-Yr Euro Swapnote {Mar 20}
VTM20	10-Yr Euro Swapnote {Jun 20}
VW.C	2-Yr Euro Swapnote Continuation
VWH20	2-Yr Euro Swapnote {Mar 20}
VWM20	2-Yr Euro Swapnote {Jun 20}
VX.C	2-Yr Dollar Swapnote Continuation
VXH20	2-Yr Dollar Swapnote {Mar 20}
VXM20	2-Yr Dollar Swapnote {Jun 20}
VY.C	5-Yr Dollar Swapnote Continuation
VYH20	5-Yr Dollar Swapnote {Mar 20}
VYM20	5-Yr Dollar Swapnote {Jun 20}
VZ.C	10Yr Dollar Swapnote Continuation
VZH20	10Yr Dollar Swapnote {Mar 20}
VZM20	10Yr Dollar Swapnote {Jun 20}
X.C	FTSE 100 Continuation
XH20	FTSE 100 {Mar 20}
XM20	FTSE 100 {Jun 20}
XU20	FTSE 100 {Sep 20}
XZ20	FTSE 100 {Dec 20}
Y.C	FTSE 250 Continuation
YH20	FTSE 250 {Mar 20}
YM20	FTSE 250 {Jun 20}
YU20	FTSE 250 {Sep 20}
YZ20	FTSE 250 {Dec 20}
